m/z,pos_runA
600.0,0.0
600.1,0.0
600.2,0.00014851268
600.3000000000001,0.00045771565
600.4000000000001,0.0
600.5000000000001,0.0
600.6000000000001,0.0
600.7000000000002,0.0
600.8000000000002,0.00017618478
600.9000000000002,0.0
601.0000000000002,0.0
601.1000000000003,0.0
601.2000000000003,0.00029678765
601.3000000000003,1.2007169e-05
601.4000000000003,6.531325e-05
601.5000000000003,0.0
601.6000000000004,0.0
601.7000000000004,0.0002777725
601.8000000000004,0.0
601.9000000000004,0.0
602.0000000000005,0.0
602.1000000000005,0.0
602.2000000000005,0.0021188797
602.3000000000005,0.0006162028
602.4000000000005,5.5018892e-05
602.5000000000006,0.0
602.6000000000006,0.0
602.7000000000006,0.00024768154
602.8000000000006,0.0
602.9000000000007,0.0
603.0000000000007,0.0
603.1000000000007,0.0
603.2000000000007,0.0004467974
603.3000000000008,1.0544234e-05
603.4000000000008,0.0
603.5000000000008,0.0
603.6000000000008,0.0
603.7000000000008,0.0
603.8000000000009,2.9665493e-05
603.9000000000009,0.0
604.0000000000009,0.0
604.1000000000009,0.0
604.200000000001,0.0015054975
604.300000000001,0.00044068575
604.400000000001,0.00013558658
604.500000000001,0.0
604.600000000001,0.00033120983
604.7000000000011,0.0016025245
604.8000000000011,0.0016185924
604.9000000000011,0.0012253836
605.0000000000011,0.0011073381
605.1000000000012,0.0005686575
605.2000000000012,0.0005038288
605.3000000000012,0.00041890563
605.4000000000012,8.981407e-05
605.5000000000013,0.0
605.6000000000013,9.308289e-06
605.7000000000013,7.653281e-06
605.8000000000013,0.0
605.9000000000013,0.0
606.0000000000014,0.0
606.1000000000014,0.0002042003
606.2000000000014,0.0009762031
606.3000000000014,0.00055945467
606.4000000000015,0.0005142819
606.5000000000015,0.0
606.6000000000015,0.00010874335
606.7000000000015,0.00050256733
606.8000000000015,0.0008786052
606.9000000000016,0.0011764138
607.0000000000016,0.0
607.1000000000016,0.0
607.2000000000016,0.0019300086
607.3000000000017,0.00015204518
607.4000000000017,0.00033534804
607.5000000000017,0.0
607.6000000000017,0.0
607.7000000000018,0.0
607.8000000000018,0.0
607.9000000000018,0.0
608.0000000000018,0.0
608.1000000000018,0.0
608.2000000000019,0.0006415797
608.3000000000019,0.00047986
608.4000000000019,0.000890122
608.5000000000019,0.0
608.600000000002,0.0
608.700000000002,0.0
608.800000000002,0.0
608.900000000002,0.0
609.000000000002,0.0
609.1000000000021,7.662854e-05
609.2000000000021,0.00045887902
609.3000000000021,6.129215e-05
609.4000000000021,0.00058694347
609.5000000000022,0.0
609.6000000000022,0.0
609.7000000000022,0.0
609.8000000000022,0.0
609.9000000000023,0.0
610.0000000000023,0.0
610.1000000000023,0.0
610.2000000000023,0.003106611
610.3000000000023,0.00051351765
610.4000000000024,0.00020316978
610.5000000000024,0.0
610.6000000000024,0.0
610.7000000000024,4.4615113e-05
610.8000000000025,0.0
610.9000000000025,0.00032171977
611.0000000000025,0.0
611.1000000000025,0.0
611.2000000000025,0.0006083171
611.3000000000026,0.000561842
611.4000000000026,0.0
611.5000000000026,0.0
611.6000000000026,6.0323506e-05
611.7000000000027,0.0
611.8000000000027,0.0048053097
611.9000000000027,0.0
612.0000000000027,0.0
612.1000000000028,0.0
612.2000000000028,0.0021718952
612.3000000000028,0.00025636388
612.4000000000028,0.0
612.5000000000028,0.0
612.6000000000029,0.0
612.7000000000029,0.0
612.8000000000029,0.0
612.9000000000029,0.0
613.000000000003,0.0
613.100000000003,0.00032794618
613.200000000003,0.00020978328
613.300000000003,0.0
613.400000000003,0.0
613.5000000000031,0.0
613.6000000000031,0.00041718446
613.7000000000031,0.000599669
613.8000000000031,0.0
613.9000000000032,0.0
614.0000000000032,0.0
614.1000000000032,0.00017789453
614.2000000000032,0.0016025559
614.3000000000033,0.00032160105
614.4000000000033,0.00021884564
614.5000000000033,0.0
614.6000000000033,0.0
614.7000000000033,0.0
614.8000000000034,0.0
614.9000000000034,0.0
615.0000000000034,0.0
615.1000000000034,0.0
615.2000000000035,0.00041110706
615.3000000000035,7.694325e-05
615.4000000000035,0.0
615.5000000000035,0.0
615.6000000000035,0.0
615.7000000000036,0.0
615.8000000000036,0.0
615.9000000000036,0.0
616.0000000000036,0.0
616.1000000000037,0.0
616.2000000000037,0.0
616.3000000000037,0.00036459896
616.4000000000037,6.12273e-05
616.5000000000038,0.0
616.6000000000038,0.0
